job_position_name,career_objective,skills,matched_score,degree_names,major_field_of_studies,experiencere_requirement
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",deep learning fresher who is looking to join a company to understand and experience production grade models. i am experienced with latent as well as cloud-based models on azure and aws,Not provided,0.573333333,['b.tech'],['computer science & engineering'],at least 3 years
"System Administrator (Operation & Maintenance Of Server, Storage & Service Desk System)","seeking roles in machine learning, natural language processing, deep learning. previously worked as a data processing intern. having good knowledge in using python libraries and different data processing tools.",Not provided,0.65,['b.tech'],['n/a'],4 to 5 years
Business Development Executive,as a data analyst i always look into more innovative ways of finding figures and facts from data. i have also worked with some production based machine learning application problems and i would like to involve myself more with such ventures.,Not provided,0.626666667,"['b.tech', 'm.tech']","['[none, none]']",1 to 3 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.75,['high school diploma'],['n/a'],at least 3 years
Network Support Engineer,"looking to utilize hands-on experience of machine learning, deep learning and artificial intelligence for data discovery, exploration, prediction and analysis tasks.",Not provided,0.85,['b.tech'],['computers'],at least 3 years
Asst. Manager/ Manger (Administrative),"fresher, working as a software developer and interested in machine learning roles. familiar with how large scale models are built and data processing is done for large amounts of data. also well acquainted with the norms of python development.",Not provided,0.583333333,['b.tech'],['computers'],at least 5 years
Marketing Officer,Not provided,Not provided,0.41,['high school diploma'],['n/a'],at least 1 year
Database Administrator (Dba),"a quality-oriented professional with a keen interest in solving complex business problems by way of ai-based design & thinking. a technology-agnostic individual with a strong background in data science, statistics, and economics with an aim to accelerate artificial intelligence.",Not provided,0.92,"['b.tech', 'msc']","['jkg college, nashik', 'computational economics']",at least 1 year
Intern (Generative Ai Engineering - 2D/3D Image Generation),post graduate analyst experienced in business management and statistical analysis. i have a very good grasp on finding the best solution for a business and applying them.,Not provided,0.85,"['bsc', 'msc']","['statistics', 'data analysis and statistical computation']",Not specified
Devops Engineer,currently seeking opportunities as an analyst as well as machine learning engineer.,Not provided,0.716666667,['b.tech'],['n/a'],at least 3 years
Civil Engineer,understanding and solving problems has been one my core objectives since i started working. exploring data and the different interpretation it can have is what amazes me. currently interested machine learning developer and engineer roles.,Not provided,0.546666667,['bca'],['n/a'],at least 5 years
Marketing Officer,Not provided,Not provided,0.53,"['b.tech', 'm.tech']","['metallurgy', 'n/a']",at least 1 year
Machine Learning (Ml) Engineer,i want to join a role where i can experiment and learn with new types of data and increase my ability to build more complex models in the future.,Not provided,0.85,['b.tech'],['civil'],at least 5 year(s)
Manager- Human Resource Management (Hrm),as a data analyst i always look into more innovative ways of finding figures and facts from data. i have also worked with some production based machine learning application problems and i would like to involve myself more with such ventures.,Not provided,0.826666667,"['b.tech', 'm.tech']","['[none, none]']",5 to 6 years
Project Coordinator (Civil),Not provided,Not provided,0.716666,"['masters of public administration', 'b.a. general studies', 'high school diploma']","['budget and public finance', 'business management', 'n/a']",5 to 10 years
Project Coordinator (Civil),Not provided,Not provided,0.65,['b.tech & m.tech(integrated)'],['n/a'],5 to 10 years
Database Administrator (Dba),"to secure an it specialist, desktop support, network administration, database administrator, technical support specialist or related position with a growing organization where my microsoft certification, technical aptitude, networking, windows and mac os, apple and android ios, web development, application development, linux, microsoft applications, managing, testing, client support, help desk, technical support, troubleshooting, and leadership skills can benefit those who i work for as well as myself.",Not provided,0.85,"['bachelor degree', 'associate degree']","['electronics and communications engineering technology', 'software development']",at least 1 year
Asst. Manager/ Manger (Administrative),"second year computer science student at the university of york seeking a summer internship in software development. programming skills in python, java and visual basic have been developed through degree, alongside the ability to analyse and work through problems in a logical manner. work experience in education and retail has developed customer service skills and ability to communicate with a range of people.",Not provided,0.76,"['meng computer science', 'a level']","[""['computer science', none]""]",at least 5 years
Head Of Internal Control & Compliance (Icc) - Sevp/Dmd,to obtain a challenging position in a professional and dynamic environment while utilizing my skills and experience to further my career in accounting.,Not provided,0.8166666666666668,"['master degree', 'n/a']","['accounting', 'computer programming in cobol language']",at least 15 years
Ai Engineer,"innovative programmer with analytical problem-solving skills and 2-year it internship experience. demonstrated proficiency in diverse computer programs, including sms/sql, ethernet, vpn, ssh, voip, html, php, asp, and xml. looking to design technical initiatives and automate solutions for organizational efficiency, productivity, and profitability.",Not provided,0.883333333,['bachelor of science'],"['computer science, cybersecurity']",Not specified
"Full Stack Developer (Python,React Js)",hard working recent graduate intending a part time or full time job to build experience in a civil engineering working environment. bringing civil engineering office and field experience in roadway design and traffic engineering.,Not provided,0.65,['bachelor of science'],['civil engineering'],3 to 7 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",to obtain a challenging career in electronic technology field. extensive experience successfully testing and analyzing complex circuit packs and systems. *takes the initiative to take on challenging problems and follows through to their resolution. *capable of working independently or as a team player. *worked with fiber optics receivers and transmitters since 1999.,Not provided,0.85,"['associate of science', 'associate degree']","['electronic technology engineering computer system', 'paralegal studies']",at least 3 years
Ai Engineer,Not provided,Not provided,0.916666667,"['phd candidate, computer science', 'b.sc., double major in computer science and management']","['computer science', 'computer science and management']",Not specified
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",i want to join a role where i can experiment and learn with new types of data and increase my ability to build more complex models in the future.,Not provided,0.716666667,['b.tech'],['civil'],at least 3 years
Marketing Officer,Not provided,Not provided,0.563333333,"['bachelor of computer applications', 'master of computer applications']","['computers', 'computers']",at least 1 year
Project Coordinator (Civil),Not provided,Not provided,0.6933333333333334,['bachelor business administration'],['accounting'],5 to 10 years
Database Administrator (Dba),fresher computer vision and machine learning engineer looking for a job that is both challenging and fun in terms of problem-solving. also an expert in maintaining and managing tableau and power bi dashboards to address business.,Not provided,0.65,['b.tech'],['computer science'],at least 1 year
Data Science Engineer,"skilled machine learning and deep learning practitioner, and i have worked on computer vision-based projects. on the lookout for opportunities that help me understand more about the domain.",Not provided,0.826666667,['b.tech(computers)'],['computers'],at least 2 years
Data Engineer,Not provided,Not provided,0.683333333,"['b.tech', 'diploma']","['n/a', 'big data analytics']",5 to 8 years
Asst. Manager/ Manger (Administrative),"energetic, innovative engineering undergraduate, passionate about machine learning, nlp and deep learning for solving real-world problems, aiming to work in an organization providing great learning experience and growth opportunities for mutual benefit.",Not provided,0.65,"['b.tech. (electrical engineering specialization in computer science)', 'xii', 'x']","['electrical engineering specialized in computer science', 'n/a', 'n/a']",at least 5 years
Project Coordinator (Civil),"dedicated and focused professional who excels at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals. seeking a role of increased responsibility and authority.",Not provided,0.7833333333333333,"['n/a', 'n/a']","['graphic design, real estate', 'architectural drafting']",5 to 10 years
Marketing Officer,i am looking for a job switch to transition into data science and utilize my currents skills & learnings from my master's course to solve new problems.,Not provided,0.65,"['b.tech', 'ms']","['electrical', 'artificial intelligence and machine learning']",at least 1 year
Sr.Officer / Executive - Internal Audit,"a highly experienced skilled graduate with analytics degree with a very good experience in sas, web scraping, sql, predictive modelling and data visualization. excellent ability in identifying data requirements for analysis, data cleaning, munging and model building; ensures the organization uses it effectively to reach profit and growth objectives. comfortable with data handling, modeling, and coding, and have an appreciation of what makes sense from a business standpoint. more than six years of experience working as a researcher, data analyst, and environmental science and technology instructor. experience in sql, data warehousing, maintaining, securing and stabilizing data layers and testing to identify data and product defects introduced in the system. customer segmentation, product positioning and mapping and conjoint analysis modelling: design and implement statistical / predictive models and cutting edge algorithms utilizing diverse sources of data to predict diversified experience with engineering, manufacturing, retailing, higher education and it /data related companies fascinated by learning cutting edge technologies, such as; data mining and machine learning handled a team of 4 during my 3 years of tech experience and managed more than 200 students and effectively evaluated the performance of each student and utilize assessment methods to judge overall progress during my teaching experience.",Not provided,0.85,"['master of science', 'master of science', 'bachelor of science']","['analytics', 'environmental science and technology', 'resource management']",2 to 4 years
Database Administrator (Dba),Not provided,Not provided,0.85,['bachelor of science'],['business administration'],at least 1 year
Marketing Officer,seasoned business development professional seeking leadership position with increasing responsibility and room to contribute to company success.,Not provided,0.85,"['certified professional coach', 'bachelor of science']","['coaching', 'business administration, marketing']",at least 1 year
Ai Engineer,"a business management graduate with significant experience in disability services, human resources and finance department; seeking to apply my abilities to position in a human resource department. proven ability to deal with multiple tasks efficiently and maintain organization.",Not provided,0.4833333333333334,['bachelor of science'],"['business management accounting, psychology']",Not specified
Data Engineer,"data analyst, interested in machine learning application development. as a data analyst, i have extensive experience with data preprocessing and pipeline building and i would like to venture further into this domain to learn more about it.",Not provided,0.716666667,['bsc'],['information technology'],5 to 8 years
Project Coordinator (Civil),Not provided,Not provided,0.6833333333333332,"['masters of business administration', 'bachelor of science']","['n/a', 'finance']",5 to 10 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.75,['bachelor of science'],['computer science'],at least 3 years
Marketing Officer,Not provided,Not provided,0.62,['dual degree (b.tech + m.tech)(chemical)'],['chemical'],at least 1 year
Hr Officer,graduating ph.d. candidate with a research focus on developing large-scale computational models using statistics and machine learning approach. interested in a career as a computational scientist or quantitative software developer.,Not provided,0.52,"['doctor of philosophy', 'master of science']","['mechanical engineering', 'mechanical engineering']",Not specified
Marketing Officer,Not provided,Not provided,0.65,['b.tech & m.tech(integrated)'],['n/a'],at least 1 year
Executive - Vat,i am a market research specialist with a grasp of machine learning and looking for a deeper dive into the career of being a professional machine learning engineer.,Not provided,0.613333333,['b.tech'],['mechanical'],1 to 3 years
"Full Stack Developer (Python,React Js)",data science explorer with a keen interest in application models of machine learning.,Not provided,0.783333333,['b.tech'],['electrical'],3 to 7 years
Data Science Engineer,as a data analyst i always look into more innovative ways of finding figures and facts from data. i have also worked with some production based machine learning application problems and i would like to involve myself more with such ventures.,Not provided,0.85,"['b.tech', 'm.tech']","['[none, none]']",at least 2 years
Data Engineer,Not provided,Not provided,0.65,"['master of business', 'bachelor of commerce']","['accounting', 'accounting & finance']",5 to 8 years
Database Administrator (Dba),Not provided,Not provided,0.85,['bachelor of arts'],['liberal arts environmental studies geography'],at least 1 year
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.65,"['bachelor of computer applications', 'master of computer applications']","['computers', 'computers']",at least 3 years
Intern (Generative Ai Engineering - 2D/3D Image Generation),"i am a software engineer, and i want to work on full time roles associated with machine learning. i have previously worked on some corporate models and due to its intricacies i want to explore more in the domain.",Not provided,0.85,['b.tech'],['computers'],Not specified
Management Trainee - Mechanical,"graduate analyst currently working as business analyst consultant. as an individual, i always try to overcome problems in the most analytical manner. i want to work on machine learning application problems that deal with real life scenarios.",Not provided,0.85,['b.tech'],['mechanical'],Not specified
Database Administrator (Dba),"dedicated computer science student with a strong command of python and proficiency in visual studio code, seeking a role as an entry-level software developer at amazon. eager to bring my ability to develop, test, and maintain software to a dynamic team that values innovation.",Not provided,0.816666667,['b.s.'],['computer science'],at least 1 year
Machine Learning (Ml) Engineer,looking for roles related to application development in machine learning.,Not provided,0.85,['b.ba'],['n/a'],at least 5 year(s)
Marketing Officer,"passionate, motivated and highly conjugated towards a building mentality. perfecting for a better code is always my ideology.",Not provided,0.623333333,['b.sc'],['statistics'],at least 1 year
Senior Software Engineer,"fresher having knowledge in machine learning and natural language processing. looking to join a role where i can learn from an well informed environment, experiment and produce promising results and work with different kinds of data.",Not provided,0.583333333,"['b.tech', 'm.tech']","['bio-tech', 'data science']",at least 1 year
Database Administrator (Dba),"to advance in professional and personal experiences within finance, tax accounting and management to obtain a staff accountant position that will enable me to perform my best using my mathematical, numerical, accounting and analytical ability for the betterment of the organization.",Not provided,0.7833333333333333,"['diploma', 'bachelor of science']","['accounting', 'computer science']",at least 1 year
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",i am a market research specialist with a grasp of machine learning and looking for a deeper dive into the career of being a professional machine learning engineer.,Not provided,0.626666667,['b.tech'],['mechanical'],at least 3 years
Ai Engineer,data science explorer with a keen interest in application models of machine learning.,Not provided,0.716666667,['b.tech'],['electrical'],Not specified
Machine Learning (Ml) Engineer,fresher computer vision and machine learning engineer looking for a job that is both challenging and fun in terms of problem-solving. also an expert in maintaining and managing tableau and power bi dashboards to address business.,Not provided,0.85,['b.tech'],['computer science'],at least 5 year(s)
Project Coordinator (Civil),seeking a technical position within an engineering team.,Not provided,0.826666667,['bachelor of science'],['engineering technology computer engineering'],5 to 10 years
Asst. Manager/ Manger (Administrative),"committed and motivated professional with exceptional customer service and decision making skills. extensive experience working with a diverse client base and delivering results. high-achieving professional possessing excellent communication, organizational and analytical capabilities. background in business development, customer service and project management.",Not provided,0.8166666666666668,"[""['high school diploma', none]""]","[""[none, 'general studies']""]",at least 5 years
Ai Engineer,"second year computer science student at the university of york seeking a summer internship in software development. programming skills in python, java and visual basic have been developed through degree, alongside the ability to analyse and work through problems in a logical manner. work experience in education and retail has developed customer service skills and ability to communicate with a range of people.",Not provided,0.85,"['meng computer science', 'a level']","[""['computer science', none]""]",Not specified
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.85,['b.tech'],['electronics engineering'],3 to 7 years
Network Support Engineer,i am an assistant software engineer working on cloud-based solutions. after working on a couple of machine learning application evaluations and deployment i got really engrossed into the domain and would like to work more towards improving myself.,Not provided,0.75,['b.tech'],['telecommunication'],at least 3 years
Data Engineer,Not provided,Not provided,0.5766666666666667,"['mba', 'bba']","['accounting and finance', 'administration']",5 to 8 years
Ai Engineer,Not provided,Not provided,0.65,"['ged', 'a-651-0118, engineering common core', 'a-651-0120, engineering mechanical', 'a-652-0298, gas turbine mechanical/electrical a school', 'a-651-0119, engineering electrical', 'a-652-0240, shipbd gage cal', 'a-495-0018, shipboard firefighting', 'a-652-0188, waste heat boilers', 'a-012-0077, class facilitator instructional delivery continuum', 'g-651-0613, machinery control system', 'j-500-0029, marine maintenance and ship repair 3-m system coordinator/inspector']","['n/a', 'engineering', 'basic propulsion equipment', 'gas turbine mechanical', 'electrical', 'shipbd gage cal', 'shipboard firefighting', 'waste heat boilers', 'class facilitator instructional', 'machinery control system', 'marine maintenance and ship repair']",Not specified
Ai Engineer,Not provided,Not provided,0.75,['b.tech'],['computers'],Not specified
Sr.Officer / Executive - Internal Audit,i am fresher data analyst starting out in erp and mis. as a fresher i am looking for roles specific to data science and machine learning to learn about the subject and create amazing applications to solve real life problems.,Not provided,0.546666667,"['b.a (economics)', 'm.a (economics), correspondence/distance learning']","['economics', 'economics']",2 to 4 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.75,['trained as accountant'],['account solution'],at least 5 year(s)
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",i would like to introduce myself as an applicant for the data scientist role. i have gathered an well informed amount of experience from my coursework and i feel that i can perform and produce results in an work environment if given the opportunity.,Not provided,0.716666667,"['b.sc (computer science engineering)', 'm.sc (data science)']","['computer science engineering', 'data science']",at least 3 years
Marketing Officer,seeking challenging opportunity in the field of data science and data analytics where i can utilize my skills and knowledge to contribute for the growth of the organization,Not provided,0.65,['b.tech'],['metallurgy'],at least 1 year
Network Support Engineer,"proficient entry level electrical engineer with excellent technical, analytical and communication skills. willing to relocate anywhere in the us.",Not provided,0.693333333,"['master of science', 'bachelor of science']","['engineering electrical engineering', 'electrical engineering']",at least 3 years
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.4666666666666666,"['master of accountancy', 'bachelor of accountancy degree', 'bachelor of accountancy', 'certificate of business administration']","['accounting', 'n/a', 'n/a', 'n/a']",3 to 7 years
Senior Ios Engineer,"a curiosity-driven data scientist, eager to leverage machine learning and data analytics to extract meaningful insights, make informed decisions and solve challenging business problems. i ensure to contribute with my knowledge, logical thinking and analytical skills towards the consistent growth and development of the organization, and enhance my experience through continuous learning and teamwork.",Not provided,0.683333333,"['bsc(ca)', 'msc(ca)']","['computer applications', 'computer applications']",at least 4 years
Intern (Generative Ai Engineering - 2D/3D Image Generation),"innovative programmer with analytical problem-solving skills and 2-year it internship experience. demonstrated proficiency in diverse computer programs, including sms/sql, ethernet, vpn, ssh, voip, html, php, asp, and xml. looking to design technical initiatives and automate solutions for organizational efficiency, productivity, and profitability.",Not provided,0.88,['bachelor of science'],"['computer science, cybersecurity']",Not specified
Management Trainee - Mechanical,understanding and solving problems has been one my core objectives since i started working. exploring data and the different interpretation it can have is what amazes me. currently interested machine learning developer and engineer roles.,Not provided,0.783333333,['bca'],['n/a'],Not specified
Ai Engineer,Not provided,Not provided,0.783333333,['bsc (it)'],['information technology'],Not specified
Executive - Vat,"i am a junior machine learning developer who focuses on data improvement and modelling, finding patterns in large databases and optimization of different models.",Not provided,0.546666667,['b.tech'],['electrical'],1 to 3 years
Machine Learning (Ml) Engineer,"to design, develop and manage products in the field of consumer electronics devices, networking protocols, internet applications and connected devices. vision to create personalized experiences based on machine learning.",Not provided,0.883333333,"['m.tech', 'b.e', 'course']","['control systems', 'electrical engineering', 'machine learning']",at least 5 year(s)
Data Science Engineer,"software developer focused in the areas of machine learning application development. motivated to learn, grow and excel my experience by challenging myself.",Not provided,0.816666667,['b.tech'],['ece'],at least 2 years
Senior Software Engineer,fresher data engineer who is experienced in pipeline building and analytics. seeking to leverage my technical and analytical skills to drive growth of the organization.,Not provided,0.783333333,"['b.tech', 'pg diploma']","['electronics and communication', 'data science and engineering']",at least 1 year
Project Coordinator (Civil),Not provided,Not provided,0.5,"['master of business administration', 'bachelor of science']","['accounting', 'technical management accounting']",5 to 10 years
Management Trainee - Mechanical,"a highly experienced skilled graduate with analytics degree with a very good experience in sas, web scraping, sql, predictive modelling and data visualization. excellent ability in identifying data requirements for analysis, data cleaning, munging and model building; ensures the organization uses it effectively to reach profit and growth objectives. comfortable with data handling, modeling, and coding, and have an appreciation of what makes sense from a business standpoint. more than six years of experience working as a researcher, data analyst, and environmental science and technology instructor. experience in sql, data warehousing, maintaining, securing and stabilizing data layers and testing to identify data and product defects introduced in the system. customer segmentation, product positioning and mapping and conjoint analysis modelling: design and implement statistical / predictive models and cutting edge algorithms utilizing diverse sources of data to predict diversified experience with engineering, manufacturing, retailing, higher education and it /data related companies fascinated by learning cutting edge technologies, such as; data mining and machine learning handled a team of 4 during my 3 years of tech experience and managed more than 200 students and effectively evaluated the performance of each student and utilize assessment methods to judge overall progress during my teaching experience.",Not provided,0.85,"['master of science', 'master of science', 'bachelor of science']","['analytics', 'environmental science and technology', 'resource management']",Not specified
Site Engineer,understanding and solving problems has been one my core objectives since i started working. exploring data and the different interpretation it can have is what amazes me. currently interested machine learning developer and engineer roles.,Not provided,0.516666667,['bca'],['n/a'],1 to 2 years
Executive/ Sr. Executive -It,i am a market research specialist with a grasp of machine learning and looking for a deeper dive into the career of being a professional machine learning engineer.,Not provided,0.65,['b.tech'],['mechanical'],3 to 5 years
Business Development Executive,"i am an experienced analytics specialist seeking a full-time position in the field of data science and application in business problem solving, where i can apply my knowledge and skills for continuous improvement.",Not provided,0.593333333,['b.tech'],['ece'],1 to 3 years
Database Administrator (Dba),Not provided,Not provided,0.75,['b.tech'],['electrical engineering'],at least 1 year
Machine Learning (Ml) Engineer,as a junior analyst i currently work with data preprocessing and data cleaning before sending them to machine learning models. i am also simultaneously training to be a machine learning engineer to work closely with teams that build models and would like to join a venture for such opportunity.,Not provided,0.826666667,['b.tech'],['n/a'],at least 5 year(s)
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.85,['dual degree (b.tech + m.tech)(chemical)'],['chemical'],3 to 7 years
Executive/ Sr. Executive -It,fresher looking to join as a data analyst and junior data scientist. experienced in creating meaningful data dashboards and evaluation models.,Not provided,0.65,"['b.sc (maths)', 'm.sc (science) (statistics)']","['mathematics', 'statistics']",3 to 5 years
Sr.Officer / Executive - Internal Audit,fresher data engineer who is experienced in pipeline building and analytics. seeking to leverage my technical and analytical skills to drive growth of the organization.,Not provided,0.526666667,"['b.tech', 'pg diploma']","['electronics and communication', 'data science and engineering']",2 to 4 years
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.85,"['bca', 'mca']","['computers', 'computers']",3 to 7 years
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.683333333,"[""master's"", 'bachelor of technology']","['mechanical & aerospace engineering', 'mechanical engineering']",3 to 7 years
Senior Software Engineer,graduate database management engineer looking to join a role in data analytics or cloud-based machine learning solutions.,Not provided,0.85,['b.tech'],['computers'],at least 1 year
Ai Engineer,"a quality-oriented professional with a keen interest in solving complex business problems by way of ai-based design & thinking. a technology-agnostic individual with a strong background in data science, statistics, and economics with an aim to accelerate artificial intelligence.",Not provided,0.916666667,"['b.tech', 'msc']","['jkg college, nashik', 'computational economics']",Not specified
Ai Engineer,"long term goals , become an intuitive i/e technician in the pulp and paper industry, teach others with the potential to take on a leadership role within my first 5 years",Not provided,0.683333333,['associate of applied science'],"['continuing coursework in math, history and finishing the elt program']",Not specified
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.7533333333333334,"['doctor of business administration management (d.b.a', 'master of business administration (m.b.a', 'b. s. computer science']","[""[none, none, 'computer science']""]",3 to 7 years
Data Engineer,currently seeking opportunities as an analyst as well as machine learning engineer.,Not provided,0.783333333,['b.tech'],['n/a'],5 to 8 years
Ai Engineer,graduate looking for roles related to bu analyst and machine learning.,Not provided,0.816666667,['b.ca'],['computer applications'],Not specified
"Full Stack Developer (Python,React Js)",Not provided,Not provided,0.65,"['master of business administration', 'bachelor of science', 'project management graduate certificate']","[""[none, 'electrical engineering', none]""]",3 to 7 years
Database Administrator (Dba),to obtain a position within an organization that utilizes my skill set to continuously add vale and achieve best-in-class results,Not provided,0.85,['bachelor of science'],['sociology business management'],at least 1 year
Management Trainee - Mechanical,i am fresher data analyst starting out in erp and mis. as a fresher i am looking for roles specific to data science and machine learning to learn about the subject and create amazing applications to solve real life problems.,Not provided,0.626666667,"['b.a (economics)', 'm.a (economics), correspondence/distance learning']","['economics', 'economics']",Not specified
Project Coordinator (Civil),"innovative programmer with analytical problem-solving skills and 2-year it internship experience. demonstrated proficiency in diverse computer programs, including sms/sql, ethernet, vpn, ssh, voip, html, php, asp, and xml. looking to design technical initiatives and automate solutions for organizational efficiency, productivity, and profitability.",Not provided,0.65,['bachelor of science'],"['computer science, cybersecurity']",5 to 10 years
Ai Engineer,"a software designer internship with a client-driven corporation leading the field of wireless communication, where outstanding success in team projects, involving design and implementation of software, as well as proven ability to deliver high quality projects on-time will contribute to the implementation, testing and support of innovative wireless products.",Not provided,0.683333333,['honours bachelor of science'],['computer science'],Not specified
Project Coordinator (Civil),i am an assistant software engineer working on cloud-based solutions. after working on a couple of machine learning application evaluations and deployment i got really engrossed into the domain and would like to work more towards improving myself.,Not provided,0.45,['b.tech'],['telecommunication'],5 to 10 years
"Full Stack Developer (Python,React Js)","fresher with excellent communication, good analyzing, and problem-solving skills. proficient and well-armed at debugging and bug fixing. strong c, c++ coding background and well informed in oops concepts.",Not provided,0.716666667,['b.tech'],['electronics'],3 to 7 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.816666667,"['bachelor of computer applications', 'master of computer applications']","['computers', 'computers']",at least 5 year(s)
Data Engineer,Not provided,Not provided,0.7166666666666667,"['mca', ""bachelor's degree in science""]","['computer', 'science']",5 to 8 years
Marketing Officer,Not provided,Not provided,0.65,['b.s. in computer science'],['computer science'],at least 1 year
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Not provided,Not provided,0.85,"['high school diploma', 'bachelor of science, be bachelor of engineering (honours) (aerospace)']","['mathematics, physics, chemistry, engineering', 'aerospace']",at least 3 years
Civil Engineer,"currently looking for an opportunity in machine learning and deep learning roles. i have a good depth of knowledge in ml algorithms, various cnn architectures, and worked on time series data, image captioning, nlp tasks. interested to work with an enthusiastic team on business problems.",Not provided,0.416666667,['b.tech'],['chemical'],at least 5 years
Sr.Officer / Executive - Internal Audit,"a fresher seeking roles in machine learning, business analysis, data predictive modelling, statistical solutions, data mining.",Not provided,0.61,['b.tech (mechanical)'],['mechanical'],2 to 4 years
Ai Engineer,"industrious recent computer science graduate with a zeal for innovation. seeking a position at sikka software, where the strategic focus on delighting users aligns with my creativity and desire to enhance social events through technology.",Not provided,0.783333333,['b.s.'],['computer science'],Not specified
Manager- Human Resource Management (Hrm),seeking challenging opportunity in the field of data science and data analytics where i can utilize my skills and knowledge to contribute for the growth of the organization,Not provided,0.77,['b.tech'],['metallurgy'],5 to 6 years
Database Administrator (Dba),Not provided,Not provided,0.85,['b.s. in computer science'],['computer science'],at least 1 year
Project Coordinator (Civil),"an enthusiast, with a master's degree in electronics & telecommunication, very keen to learn & eagerly looking for opportunities.",Not provided,0.65,['b.ca'],['n/a'],5 to 10 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",graduating ph.d. candidate with a research focus on developing large-scale computational models using statistics and machine learning approach. interested in a career as a computational scientist or quantitative software developer.,Not provided,0.55,"['doctor of philosophy', 'master of science']","['mechanical engineering', 'mechanical engineering']",at least 3 years
Ai Engineer,Not provided,Not provided,0.7266666666666666,"['pharmacy technician', 'executive mba', 'bachelor of arts']","[""['pharmacy technician', none, none]""]",Not specified
Project Coordinator (Civil),Not provided,Not provided,0.65,"['m.s', 'b.e']","['computer science', 'electronics and communication engineering']",5 to 10 years
Executive - Vat,"i am a master of data science graduate looking to work as a fulltime employee, seeking an entry level role in data science domain. i can offer a strong programming skills and good academic results together with a sound knowledge of implementing machine learning techniques. also, i am keen to learn new skill sets that the role demands. i am a highly analytical individual with interpersonal and technical skills, a desire to learn and determined attitude to succeed.",Not provided,0.416666667,"['b.tech(computers)', 'masters (data science)']","['computers', 'data science']",1 to 3 years
Project Coordinator (Civil),Not provided,Not provided,0.6,['bachelor of science'],['computer science'],5 to 10 years
Data Science Engineer,as a junior analyst i currently work with data preprocessing and data cleaning before sending them to machine learning models. i am also simultaneously training to be a machine learning engineer to work closely with teams that build models and would like to join a venture for such opportunity.,Not provided,0.716666667,['b.tech'],['n/a'],at least 2 years
Executive - Vat,Not provided,Not provided,0.48,"['b.tech', 'm.tech']","[""[none, 'big data analytics']""]",1 to 3 years
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",currently seeking opportunities as an analyst as well as machine learning engineer.,Not provided,0.816666667,['b.tech'],['n/a'],at least 3 years
Marketing Officer,"to obtain a position where teamwork, integrity and professionalism are a high standard in the company's mission statement. all while engaging in new challenges and learning experiences.",Not provided,0.85,"['general courses', 'technical diploma']","['[none, none]']",at least 1 year
Data Engineer,to obtain a position within an organization that utilizes my skill set to continuously add vale and achieve best-in-class results,Not provided,0.683333333,['bachelor of science'],['sociology business management'],5 to 8 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.816666667,"['phd in computer science', 'hauptdiplom (equivalent to msc) in computer science', 'vordiplom (comparable to bsc) in commercial information technology', 'vordiplom (comparable to bsc) in computer science']","['computer science', 'computer science', 'information technology', 'computer science']",at least 5 year(s)
Project Coordinator (Civil),"looking to utilize hands-on experience of machine learning, deep learning and artificial intelligence for data discovery, exploration, prediction and analysis tasks.",Not provided,0.65,['b.tech'],['computers'],5 to 10 years
Machine Learning (Ml) Engineer,Not provided,Not provided,0.906666667,"['b.s', 'm.s', 'b.s.i.t']","['mechanical engineering', 'electrical engineering', 'software engineering']",at least 5 year(s)
Intern (Generative Ai Engineering - 2D/3D Image Generation),i am actively seeking opportunity as data analyst or machine learning engineer. my goal is to discover new business strategies and create an impact through data driven analytical decisions and leading the business to success.,Not provided,0.85,['b. tech'],['ece'],Not specified
Senior Ios Engineer,i am data science enthusiast focused on solving complex problems using machine learning techniques. i try to simplify problems and attack them head on. always working and striving to be better solution finder.,Not provided,0.683333333,['b.tech'],['ece'],at least 4 years
Asst. Manager/ Manger (Administrative),i am looking for another opportunity within usa in infrastructure consulting/ systems administration that gives me the opportunity to excel in my current skills and paves way for learning new technologies.,Not provided,0.85,['bachelor of engineering (b.e'],['[none]'],at least 5 years
